,Model,Samples,Accuracy,Decision Acc,Reasoning Score,Hallucination Rate,Latency (s)
15,gemini-2.5-pro,111,85.5% ± 3.7%,84.7%,0.73,10.8%,22.74
14,gemini-2.5-flash,120,82.8% ± 3.8%,87.5%,0.74,10.0%,17.49
13,grok-3,356,82.4% ± 2.4%,91.6%,0.74,24.4%,4.60
7,grok-4-fast,248,80.8% ± 2.6%,91.5%,0.70,13.7%,24.52
4,claude-sonnet-4-5,240,79.3% ± 2.4%,87.9%,0.73,30.8%,10.01
12,claude-opus-4-5,200,79.3% ± 3.5%,89.5%,0.73,18.0%,5.77
5,grok-3-mini,278,78.6% ± 2.4%,96.4%,0.75,24.8%,16.57
3,claude-opus-4-1,184,75.4% ± 3.5%,89.7%,0.73,27.7%,—
10,grok-4-1-f-r,90,75.3% ± 4.3%,85.6%,0.73,23.3%,74.18
8,gpt-5-mini,61,75.0% ± 6.7%,88.5%,0.74,23.0%,22.19
9,claude-haiku-4-5,92,74.2% ± 4.7%,88.0%,0.73,25.0%,3.56
1,gpt-4o,368,74.2% ± 2.2%,90.2%,0.75,40.8%,4.16
2,deepseek-chat,372,71.9% ± 2.4%,95.4%,0.72,17.5%,8.96
11,gpt-5.1,236,68.2% ± 3.2%,83.5%,0.69,46.2%,4.31
6,gpt-4,130,62.3% ± 3.4%,90.8%,0.68,17.7%,4.30
0,gpt-4o-mini,152,58.6% ± 3.4%,81.6%,0.69,5.9%,7.71
